date,daily_ret,equity
2021-01-04,0.0,1.0
2021-01-05,0.0,1.0
2021-01-06,0.0,1.0
2021-01-07,0.0,1.0
2021-01-08,0.0,1.0
2021-01-11,0.0,1.0
2021-01-12,0.0,1.0
2021-01-13,0.0,1.0
2021-01-14,0.0,1.0
2021-01-15,0.0,1.0
2021-01-19,0.0,1.0
2021-01-20,0.0,1.0
2021-01-21,0.0,1.0
2021-01-22,0.0,1.0
2021-01-25,0.0,1.0
2021-01-26,0.0,1.0
2021-01-27,0.0,1.0
2021-01-28,0.0,1.0
2021-01-29,0.0,1.0
2021-02-01,0.0,1.0
2021-02-02,0.0,1.0
2021-02-03,0.0,1.0
2021-02-04,0.0,1.0
2021-02-05,0.0,1.0
2021-02-08,0.0,1.0
2021-02-09,0.0,1.0
2021-02-10,0.0,1.0
2021-02-11,0.0,1.0
2021-02-12,0.0,1.0
2021-02-16,0.0,1.0
2021-02-17,0.0,1.0
2021-02-18,0.0,1.0
2021-02-19,0.0,1.0
2021-02-22,0.0,1.0
2021-02-23,0.0,1.0
2021-02-24,0.0,1.0
2021-02-25,0.0,1.0
2021-02-26,0.0,1.0
2021-03-01,0.0,1.0
2021-03-02,0.0,1.0
2021-03-03,0.0,1.0
2021-03-04,0.0,1.0
2021-03-05,0.0,1.0
2021-03-08,0.0,1.0
2021-03-09,0.0,1.0
2021-03-10,0.0,1.0
2021-03-11,0.0,1.0
2021-03-12,0.0,1.0
2021-03-15,0.0,1.0
2021-03-16,0.0,1.0
2021-03-17,0.0,1.0
2021-03-18,0.0,1.0
2021-03-19,0.0,1.0
2021-03-22,0.0,1.0
2021-03-23,0.0,1.0
2021-03-24,0.0,1.0
2021-03-25,0.0,1.0
2021-03-26,0.0,1.0
2021-03-29,0.0,1.0
2021-03-30,0.0,1.0
2021-03-31,-0.0001,0.9999
2021-04-01,0.009596474916032806,1.0094955152685412
2021-04-05,0.00983745673798735,1.0194263837271877
2021-04-06,0.0006653985712754023,1.0201047085864403
2021-04-07,-0.0032061553595666365,1.0168340944076868
2021-04-08,0.0015793126994393942,1.0184399934062078
2021-04-09,0.006048543918073786,1.024600072434248
2021-04-12,0.002636223562648594,1.027301147287491
2021-04-13,-4.714634150810611e-05,1.027252713796769
2021-04-14,0.0008779493830351583,1.0281545896830682
2021-04-15,0.009685155714812044,1.0381124269830475
2021-04-16,0.005106923563593085,1.043413987798066
2021-04-19,-0.0019036080470687276,1.0414277365344695
2021-04-20,-0.005789682386917232,1.0353982007110087
2021-04-21,0.010030943433648777,1.0457842214936426
2021-04-22,-0.004748396380000311,1.0408184234820408
2021-04-23,0.00889740751009121,1.0500790091397711
2021-04-26,-0.0003909819412603467,1.049668447210301
2021-04-27,0.0018019271809228236,1.0515598733162863
2021-04-28,-0.0009068634860101143,1.0506062520638224
2021-04-29,0.007480594927431098,1.0584654118637384
2021-04-30,-0.005920066025739459,1.0521992267395437
2021-05-03,0.0067368865602076685,1.0592877735688264
2021-05-04,-0.008081998539003626,1.0507266113304587
2021-05-05,-0.0009035340211768801,1.0497772440901658
2021-05-06,0.007645014536928216,1.0578028063817715
2021-05-07,0.018418789889819133,1.0772862540173784
2021-05-10,-0.01068486323765896,1.0657755977253929
2021-05-11,-0.014674719589360827,1.0501356396835893
2021-05-12,-0.03798141285392282,1.0102500044001486
2021-05-13,0.023420768122524565,1.0339108354989837
2021-05-14,0.025903569588253725,1.060692816774381
2021-05-17,-0.005830556505359644,1.0545083873713488
2021-05-18,-0.011744569495291542,1.042123640332498
2021-05-19,-0.004666427293692097,1.0372606461338487
